epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.43490299582481384,0.2967497408390045,0.565346360206604,1e-04,0.3748741149902344,0.8527302742004395,0.27167803049087524,0.18514293432235718,0.7261337041854858,0.2940598726272583,0.9138270616531372
1,0.6727445721626282,0.5262703895568848,0.32733070850372314,1e-04,0.7741368412971497,0.8473653197288513,0.06756356358528137,0.044256098568439484,0.9317201972007751,0.9195037484169006,0.08123908191919327
2,0.7769449353218079,0.6550866365432739,0.22317323088645935,1e-04,0.8391243815422058,0.8659376502037048,0.5474101901054382,0.4753621220588684,0.44998061656951904,0.8876242637634277,0.8855471014976501
3,0.8167721629142761,0.7101670503616333,0.18332728743553162,1e-04,0.8598230481147766,0.874122679233551,0.5756170749664307,0.5077385902404785,0.4220879077911377,0.8586625456809998,0.9429154396057129
4,0.8411300778388977,0.7454169392585754,0.15894527733325958,1e-04,0.8761851191520691,0.8831906914710999,0.5485410690307617,0.4836842715740204,0.4462636411190033,0.9402726888656616,0.8092286586761475
5,0.850985586643219,0.7606120705604553,0.14909541606903076,1e-04,0.8800076246261597,0.8857040405273438,0.5227777361869812,0.4504688084125519,0.47169747948646545,0.9645717144012451,0.7316895127296448
6,0.869767427444458,0.7883642911911011,0.13029849529266357,1e-04,0.8977892994880676,0.8974869847297668,0.3615170121192932,0.2754097580909729,0.634212851524353,0.9752634763717651,0.4763954281806946
7,0.8769688010215759,0.799534797668457,0.12305638194084167,1e-04,0.9051224589347839,0.901032030582428,0.49614688754081726,0.42306917905807495,0.49804821610450745,0.9620800018310547,0.6550762057304382
8,0.8818086385726929,0.8067893385887146,0.11825700849294662,1e-04,0.9090939164161682,0.903029203414917,0.6002680659294128,0.5483442544937134,0.39674627780914307,0.9428406953811646,0.8896664381027222
9,0.8920876979827881,0.8228718638420105,0.10796544700860977,1e-04,0.9172254204750061,0.9111359715461731,0.5605666041374207,0.49245044589042664,0.4351290464401245,0.963437557220459,0.7974013090133667
10,0.894217312335968,0.8263934850692749,0.10583152621984482,1e-04,0.9196954965591431,0.911872386932373,0.5727667808532715,0.5134762525558472,0.4247892498970032,0.9555883407592773,0.8428753018379211
11,0.9015708565711975,0.8378270268440247,0.09844689071178436,1e-04,0.9245514869689941,0.9192126393318176,0.5755627751350403,0.5164746642112732,0.42043572664260864,0.9384680986404419,0.8287920355796814
